id,age,gender,monthly_earn1,wta
382,20,Male,"More than MWK200,000",220
383,30,Female,"Between MWK75,000 to MWK99,999",40
384,23,Female,Prefer not to say,NA
385,51,Female,I don't know,NA
386,15,Male,I don't know,NA
387,26,Male,"More than MWK200,000",220
388,33,Male,"Between MWK150,000 to MWK174,999",120
389,32,Male,"Between MWK150,000 to MWK174,999",120
390,33,Female,NA,NA
391,60,Male,"Between MWK150,000 to MWK174,999",120
392,45,Female,"Between MWK100,000 to MWK124,999",60
393,25,Female,"Between MWK150,000 to MWK174,999",120
394,28,Female,"Between MWK75,000 to MWK99,999",40
395,20,Female,"Between MWK125,000 to MWK149,999",90
396,28,Male,"Between MWK150,000 to MWK174,999",120
397,22,Female,NA,NA
398,42,Male,"Between MWK75,000 to MWK99,999",40
399,20,Female,NA,NA
400,41,Female,NA,NA
401,49,Male,"Between MWK175,000 to MWK200,000",160
402,37,Female,"Between MWK25,000 to MWK49,999",10
403,63,Female,"Between MWK100,000 to MWK124,999",60
404,35,Female,"Between MWK25,000 to MWK49,999",10
405,30,Female,"More than MWK200,000",220
406,47,Female,NA,NA
407,58,Female,"More than MWK200,000",220
408,23,Male,I don't know,NA
409,19,Male,"Between MWK75,000 to MWK99,999",40
410,42,Female,"Between MWK25,000 to MWK49,999",10
411,18,Male,I don't know,NA
412,29,Male,Prefer not to say,NA
413,23,Male,"Between MWK175,000 to MWK200,000",160
414,32,Female,"Between MWK125,000 to MWK149,999",90
415,36,Female,"Between MWK150,000 to MWK174,999",120
416,72,Male,"More than MWK200,000",220
417,38,Female,NA,NA
418,31,Female,"Between MWK150,000 to MWK174,999",120
419,19,Female,"Between MWK150,000 to MWK174,999",120
420,62,Female,NA,NA
421,19,Male,NA,NA
422,25,Female,"Between MWK25,000 to MWK49,999",10
423,23,Female,NA,NA
424,29,Female,NA,NA
425,21,Male,NA,NA
426,18,Male,NA,NA
427,25,Female,NA,NA
428,18,Male,NA,NA
429,17,Male,I don't know,NA
430,19,Female,"Less than MWK25,000",5
431,25,Male,Prefer not to say,NA
432,26,Female,I don't know,NA
433,19,Female,"More than MWK200,000",220
434,45,Female,I don't know,NA
435,23,Female,Prefer not to say,NA
436,39,Male,"Between MWK25,000 to MWK49,999",10
437,18,Female,NA,NA
438,32,Female,NA,NA
439,31,Female,NA,NA
440,22,Female,NA,NA
441,26,Female,"Between MWK75,000 to MWK99,999",40
442,25,Female,NA,NA
443,22,Female,NA,NA
444,36,Female,"Between MWK25,000 to MWK49,999",10
445,40,Female,"More than MWK200,000",220
446,26,Female,"Between MWK150,000 to MWK174,999",120
447,27,Female,"Between MWK150,000 to MWK174,999",120
448,57,Male,"Between MWK150,000 to MWK174,999",120
449,29,Female,"Between MWK175,000 to MWK200,000",160
450,37,Male,"Between MWK150,000 to MWK174,999",120
451,20,Female,"Between MWK125,000 to MWK149,999",90
452,36,Male,NA,NA
453,22,Male,"Between MWK175,000 to MWK200,000",160
454,28,Female,Prefer not to say,NA
455,32,Male,Prefer not to say,NA
456,30,Female,NA,NA
457,20,Male,Prefer not to say,NA
458,25,Male,Prefer not to say,NA
459,24,Female,"Between MWK100,000 to MWK124,999",60
460,23,Female,"Between MWK100,000 to MWK124,999",60
461,36,Male,Prefer not to say,NA
462,32,Female,"Between MWK75,000 to MWK99,999",40
463,65,Male,NA,NA
464,58,Female,"Between MWK150,000 to MWK174,999",120
465,24,Female,"More than MWK200,000",220
466,18,Female,"Between MWK175,000 to MWK200,000",160
467,62,Male,"More than MWK200,000",220
468,24,Female,"Between MWK125,000 to MWK149,999",90
469,26,Female,"Between MWK75,000 to MWK99,999",40
470,29,Female,"Less than MWK25,000",5
471,26,Male,Prefer not to say,NA
472,52,Female,Prefer not to say,NA
473,29,Female,Prefer not to say,NA
474,50,Female,NA,NA
475,21,Male,"Between MWK25,000 to MWK49,999",10
476,27,Male,Prefer not to say,NA
477,26,Female,Prefer not to say,NA
478,30,Male,Prefer not to say,NA
479,24,Female,NA,NA
480,20,Female,I don't know,NA
481,19,Male,I don't know,NA
482,21,Female,"Between MWK150,000 to MWK174,999",120
483,63,Female,"Between MWK150,000 to MWK174,999",120
484,43,Female,"More than MWK200,000",220
485,52,Female,"More than MWK200,000",220
486,30,Female,"Between MWK150,000 to MWK174,999",120
487,19,Female,"Between MWK125,000 to MWK149,999",90
488,18,Female,"Between MWK125,000 to MWK149,999",90
489,61,Male,"More than MWK200,000",220
490,40,Female,"More than MWK200,000",220
491,26,Female,"Between MWK150,000 to MWK174,999",120
492,24,Female,"Between MWK75,000 to MWK99,999",40
493,18,Male,"Between MWK125,000 to MWK149,999",90
494,23,Female,I don't know,NA
495,64,Female,NA,NA
496,26,Female,"Between MWK175,000 to MWK200,000",160
497,22,Male,I don't know,NA
498,20,Male,I don't know,NA
499,15,Male,I don't know,NA
500,39,Female,Prefer not to say,NA
501,17,Male,I don't know,NA
502,24,Male,"Between MWK150,000 to MWK174,999",120
503,17,Male,NA,NA
504,20,Female,"More than MWK200,000",220
505,43,Male,I don't know,NA
506,26,Male,Prefer not to say,NA
507,17,Male,I don't know,NA
508,36,Female,"More than MWK200,000",220
509,18,Male,I don't know,NA
510,21,Female,Prefer not to say,NA
511,23,Male,I don't know,NA
512,21,Female,"Between MWK150,000 to MWK174,999",120
513,19,Male,I don't know,NA
514,16,Male,"Less than MWK25,000",5
515,22,Male,I don't know,NA
516,32,Male,Prefer not to say,NA
517,27,Male,Prefer not to say,NA
518,45,Female,Prefer not to say,NA
519,35,Male,"More than MWK200,000",220
520,23,Female,Prefer not to say,NA
521,53,Male,"More than MWK200,000",220
522,27,Female,"More than MWK200,000",220
523,32,Male,"More than MWK200,000",220
524,33,Male,Prefer not to say,NA
525,38,Male,"More than MWK200,000",220
526,35,Female,Prefer not to say,NA
527,36,Female,Prefer not to say,NA
528,47,Male,"More than MWK200,000",220
529,41,Female,I don't know,NA
530,42,Male,"Between MWK150,000 to MWK174,999",120
531,22,Male,Prefer not to say,NA
532,25,Male,"More than MWK200,000",220
533,33,Female,"More than MWK200,000",220
534,42,Female,"More than MWK200,000",220
535,23,Male,Prefer not to say,NA
536,30,Female,Prefer not to say,NA
537,38,Male,"More than MWK200,000",220
538,20,Male,Prefer not to say,NA
539,24,Male,Prefer not to say,NA
540,20,Female,NA,NA
541,23,Male,Prefer not to say,NA
542,40,Female,Prefer not to say,NA
543,38,Female,Prefer not to say,NA
544,23,Female,"More than MWK200,000",220
545,26,Male,Prefer not to say,NA
546,30,Female,NA,NA
547,20,Male,"More than MWK200,000",220
548,33,Female,"More than MWK200,000",220
549,41,Male,Prefer not to say,NA
550,56,Female,Prefer not to say,NA
551,40,Female,Prefer not to say,NA
552,23,Male,"More than MWK200,000",220
553,36,Female,Prefer not to say,NA
554,25,Male,Prefer not to say,NA
